Year,Pop,life_exp1950
1950,2.53,28.8
1951,2.57,55.23
1952,2.62,43.08
1953,2.67,30.02
1954,2.71,62.48
1955,2.76,69.12
1956,2.81,66.8
1957,2.86,50.94
1958,2.92,37.48
1959,2.97,68.0
1960,3.03,38.22
1961,3.08,40.41
1962,3.14,53.82
1963,3.2,47.62
1964,3.26,50.92
1965,3.33,59.6
1966,3.4,31.98
1967,3.47,39.03
1968,3.54,39.42
1969,3.62,38.52
1970,3.69,68.75
1971,3.77,35.46
1972,3.84,38.09
1973,3.92,54.74
1974,4.0,44.0
1975,4.07,50.64
1976,4.15,40.72
1977,4.22,39.14
1978,4.3,42.11
1979,4.37,57.21
1980,4.45,40.48
1981,4.53,61.21
1982,4.61,59.42
1983,4.69,66.87
1984,4.78,70.78
1985,4.86,34.81
1986,4.95,45.93
1987,5.05,48.36
1988,5.14,41.89
1989,5.23,45.26
1990,5.32,34.48
1991,5.41,35.93
1992,5.49,34.08
1993,5.58,66.55
1994,5.66,67.41
1995,5.74,37.0
1996,5.82,30.0
1997,5.9,67.5
1998,5.98,43.15
1999,6.05,65.86
2000,6.13,42.02
2001,6.2,33.61
2002,6.28,32.5
2003,6.36,37.58
2004,6.44,41.91
2005,6.51,60.96
2006,6.59,64.03
2007,6.67,72.49
2008,6.75,37.37
2009,6.83,37.47
2010,6.92,44.87
2011,7.0,45.32
2012,7.08,66.91
2013,7.16,65.39
2014,7.24,65.94
2015,7.32,58.53
2016,7.4,63.03
2017,7.48,43.16
2018,7.56,42.27
2019,7.64,50.06
2020,7.72,47.45
2021,7.79,55.56
2022,7.87,55.93
2023,7.94,42.14
2024,8.01,38.48
2025,8.08,42.72
2026,8.15,36.68
2027,8.22,36.26
2028,8.29,48.46
2029,8.36,33.68
2030,8.42,40.54
2031,8.49,50.99
2032,8.56,50.79
2033,8.62,42.24
2034,8.68,59.16
2035,8.74,42.87
2036,8.8,31.29
2037,8.86,36.32
2038,8.92,41.72
2039,8.98,36.16
2040,9.04,72.13
2041,9.09,69.39
2042,9.15,42.31
2043,9.2,37.44
2044,9.26,36.32
2045,9.31,72.67
2046,9.36,37.58
2047,9.41,43.44
2048,9.46,55.19
2049,9.5,62.65
2050,9.55,43.9
2051,9.6,47.75
2052,9.64,61.31
2053,9.68,59.82
2054,9.73,64.28
2055,9.77,52.72
2056,9.81,61.05
2057,9.85,40.0
2058,9.88,46.47
2059,9.92,39.88
2060,9.96,37.28
2061,9.99,58.0
2062,10.03,30.33
2063,10.06,60.4
2064,10.09,64.36
2065,10.13,65.57
2066,10.16,32.98
2067,10.19,45.01
2068,10.22,64.94
2069,10.25,57.59
2070,10.28,38.64
2071,10.31,41.41
2072,10.33,71.86
2073,10.36,69.62
2074,10.38,45.88
2075,10.41,58.5
2076,10.43,41.22
2077,10.46,50.85
2078,10.48,38.6
2079,10.5,59.1
2080,10.52,44.6
2081,10.55,43.58
2082,10.57,39.98
2083,10.59,69.18
2084,10.61,68.44
2085,10.63,66.07
2086,10.65,55.09
2087,10.66,40.41
2088,10.68,43.16
2089,10.7,32.55
2090,10.72,42.04
2091,10.73,48.45
2092,10.75,
2093,10.77,
2094,10.78,
2095,10.79,
2096,10.81,
2097,10.82,
2098,10.83,
2099,10.84,
2100,10.85,